id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
67441,Canyon apartment hideaway,332552,Peter,,College Area,32.76347,-117.07753,Entire home/apt,76,7,6,2021-11-04,0.07,6,249,2,
75668,San Diego Living by JA 2,401936,Johnathon,,North Hills,32.74699,-117.14243,Private room,45,2,195,2020-09-30,1.50,2,193,0,
77785,"1 bdrm, shared space Ideal-Short Term Work Assign",417659,Alicia,,Old Town,32.749096,-117.191025,Private room,70,32,18,2022-02-26,0.36,1,57,1,
79300,San Diego living by JA 1,401936,Johnathon,,North Hills,32.74715,-117.1428,Private room,50,2,160,2022-02-28,1.19,2,160,3,
103417,"La Jolla Retreat-Zen Lifestyle, More than a Room",252692,Marsha,,La Jolla,32.81321,-117.26853,Private room,160,5,229,2021-11-30,1.77,2,121,11,
103720,Gaslamp Room - Hillcrest House Bed & Breakfast,507423,Ann,,Midtown,32.74779,-117.1648,Entire home/apt,140,1,80,2022-02-21,0.62,8,236,11,
108349,Felspar Townhome- Beach Living by Boardwalk & Pier,546519,Juliana,,Pacific Beach,32.79783,-117.25416,Entire home/apt,234,6,161,2022-01-09,1.25,2,40,10,
126344,"Tourmaline House - Steps to Beach, Pet-Friendly",546519,Juliana,,Pacific Beach,32.80751,-117.25728,Entire home/apt,317,6,174,2021-12-30,1.37,2,188,16,
149548,Mission Bay Getaway - Seaworld Beaches SUPER CLEAN,721326,Olivia,,Bay Park,32.79993,-117.20067,Private room,71,3,213,2022-03-06,1.65,2,166,12,
165967,MIKE'S PLACE - A PRIVATE  COTTAGE,790976,Mike,,West University Heights,32.75314,-117.15142,Entire home/apt,125,3,625,2022-03-14,4.83,2,205,42,
167022,Room and shared bath in home near beach.,795905,Franz,,Pacific Beach,32.79644,-117.23409,Private room,75,3,230,2022-02-12,1.77,3,0,21,
167760,Traveler's Haven - Central to all!,799669,Mary,,Mira Mesa,32.91216,-117.12881,Private room,48,1,79,2022-03-20,0.61,2,1,7,
167804,"Mission Bay Retreat Studio, near Beaches, La Jolla",721326,Olivia,,Bay Park,32.80135,-117.20282,Private room,71,3,94,2022-03-15,0.80,2,164,24,
168415,Travel Twin Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78175,-117.16045,Private room,76,5,69,2021-08-04,0.53,4,0,6,
170421,Traveler's Haven 2 - Central to all,799669,Mary,,Mira Mesa,32.91068,-117.13051,Private room,55,2,53,2019-07-31,0.41,2,81,0,
171212,Entire 3BR/2BA Condo in Beautiful Del Mar!,816767,Kayvon,,Carmel Valley,32.94568,-117.23229,Entire home/apt,207,30,52,2022-02-27,0.47,1,204,4,
172519,Upstairs Room/Pt. Loma,164137,Melinda,,Roseville,32.73936,-117.21747,Private room,85,2,53,2019-01-13,0.41,3,118,0,
175119,"Private bed&bath (sorry, closed for pandemic)",836963,Kevin,,Talmadge,32.76687,-117.09017,Private room,98,1,102,2021-08-08,0.79,1,79,4,
176588,Mission Bay Cottage - SAN DIEGO,2139569,Doug,,Moreno Mission,32.77361145732638,-117.20040317736,Entire home/apt,104,3,214,2022-03-09,1.67,2,49,16,
182428,Adorable South Mission Studio 5- 1block to Ocean,874515,Luke,,Mission Bay,32.76411,-117.25139,Entire home/apt,169,4,9,2021-12-30,0.09,31,321,3,
184238,"OB studio, ocean views, hot tub & garage parking!",883704,Scott,,Loma Portal,32.74109,-117.24503,Entire home/apt,201,2,470,2022-03-21,3.64,1,269,74,
189785,"La Jolla/PB Ocean views! 
1 block to beach & surf.",915738,Jeff,,La Jolla,32.81041,-117.26637,Private room,125,21,37,2022-03-08,0.37,1,124,4,
190225,LJ Village charming home with private pool & spa,918513,Paige,,La Jolla,32.84006,-117.26922,Entire home/apt,481,3,206,2022-03-18,1.71,1,189,51,
203528,OLD TOWN CHARMER GUEST ROOM,975389,Irene,,Old Town,32.75033,-117.19283,Private room,132,2,2,2014-07-28,0.02,1,362,0,
211583,"The Happy Little Cottage, just steps to sand...",1090651,J-Me & Clark,,Mission Bay,32.76757,-117.25103,Entire home/apt,170,3,198,2022-02-28,1.76,1,52,29,
213653,Beautiful Ocean View & Torrey PInes Serenity,660996,Kathy,,Torrey Pines,32.92565,-117.24847,Entire home/apt,770,7,48,2021-11-09,0.40,1,177,8,
241210,Room for rent in North Park Home near DT San Diego,1265742,Debra,,North Hills,32.75819,-117.13749,Private room,80,1,88,2022-01-29,0.69,1,163,3,
246264,Central San Diego At Your Doorstep One Bedroom,1291828,Tomio,,Linda Vista,32.79579,-117.17383,Entire home/apt,89,31,60,2019-11-08,0.55,5,299,0,
252289,Private oasis w/ jacuzzi,861840,Catherine,,Old Town,32.75259,-117.17599,Entire home/apt,210,2,371,2022-03-07,3.14,1,275,63,
269843,Twin Corner Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78175,-117.16045,Private room,76,5,76,2018-12-08,0.64,4,0,0,
273134,Master Bed/Bath Artist Retreat w/ Pool & Jacuzzi!,766039,Pamela,,Bird Land,32.78175,-117.16045,Private room,106,3,60,2021-09-06,0.50,4,73,7,
278138,Comfy Room Close to Everything !!,1451910,Mike & Deborah,,Scripps Ranch,32.90738,-117.08818,Private room,68,2,98,2021-11-26,0.81,2,365,16,
278158,Comfy & Cozy Room for Travelers,1451910,Mike & Deborah,,Scripps Ranch,32.90847,-117.08776,Private room,68,1,68,2022-03-09,0.58,2,358,33,
279012,Tropical Home Near Beach w/ Hot Tub,1451027,Rebecca,,Loma Portal,32.73183,-117.2427,Entire home/apt,235,3,23,2019-08-06,0.19,1,53,0,
281817,Private & Quiet Detached Cottage. No A/C,1468925,Sam,,South Park,32.72836,-117.12349,Entire home/apt,99,90,214,2021-12-16,1.72,1,283,2,
289088,"Quiet studio: King bed, AC, Washer",1501859,Belinda,,Midtown,32.74277,-117.17735,Entire home/apt,87,2,327,2022-03-16,2.63,2,29,62,
